chunk_id,article_url,article_title,section_category,chunk_index,total_chunks_in_article,word_count,estimated_tokens,chunk_type,has_code,has_list,heading_breadcrumb
halo_06e20ff0_002_f05825e5b442,https://usehalo.com/guide/azure-devops-integration/,Azure DevOps Integration,Integrations,2,7,266,359,structural_h2,False,False,Azure DevOps Integration > Section 2
halo_06e20ff0_003_789e23f4384c,https://usehalo.com/guide/azure-devops-integration/,Azure DevOps Integration,Integrations,3,7,266,359,structural_h2,False,False,Azure DevOps Integration > Section 3
halo_06e20ff0_004_9ac3410f756d,https://usehalo.com/guide/azure-devops-integration/,Azure DevOps Integration,Integrations,4,7,266,359,structural_h2,False,False,Azure DevOps Integration > Section 4
halo_06e20ff0_005_6381b9219939,https://usehalo.com/guide/azure-devops-integration/,Azure DevOps Integration,Integrations,5,7,266,359,structural_h2,False,False,Azure DevOps Integration > Section 5
halo_06e20ff0_006_b7d1c5909224,https://usehalo.com/guide/azure-devops-integration/,Azure DevOps Integration,Integrations,6,7,266,359,structural_h2,False,False,Azure DevOps Integration > Section 6
halo_60d7a2d7_000_c3b045f8d4ae,https://usehalo.com/guide/general-settings-10/,General Settings (Notifications),Configuration,0,3,70,94,structural_h2,False,False,General Settings (Notifications)
halo_60d7a2d7_001_f00aaae6d35a,https://usehalo.com/guide/general-settings-10/,General Settings (Notifications),Configuration,1,3,362,488,fixed_window,False,False,General Settings (Notifications) > Section 1 > (part 1)
halo_60d7a2d7_002_c01f42157fa5,https://usehalo.com/guide/general-settings-10/,General Settings (Notifications),Configuration,2,3,301,406,fixed_window,False,False,General Settings (Notifications) > Section 1 > (part 2)
halo_2e4a1f1b_000_bdfa1c7ce1f2,https://usehalo.com/guide/agents-2/,Agents,Configuration,0,4,96,129,structural_h2,False,False,Agents
halo_2e4a1f1b_001_c71020f553f2,https://usehalo.com/guide/agents-2/,Agents,Configuration,1,4,274,369,structural_h2,False,False,Agents > Section 1
halo_2e4a1f1b_002_7d375650b6c0,https://usehalo.com/guide/agents-2/,Agents,Configuration,2,4,274,369,structural_h2,False,False,Agents > Section 2
halo_2e4a1f1b_003_4a19bd5ae4fe,https://usehalo.com/guide/agents-2/,Agents,Configuration,3,4,274,369,structural_h2,False,False,Agents > Section 3
halo_f0c73d4a_000_d53d19707305,https://usehalo.com/guide/azure-sentinel-webhooks/,Azure Sentinel Webhooks,Integrations,0,5,98,132,structural_h2,False,False,Azure Sentinel Webhooks
halo_f0c73d4a_001_adeec4cdbcc1,https://usehalo.com/guide/azure-sentinel-webhooks/,Azure Sentinel Webhooks,Integrations,1,5,359,484,fixed_window,False,False,Azure Sentinel Webhooks > Section 1 > (part 1)
halo_f0c73d4a_002_01c4b66607d9,https://usehalo.com/guide/azure-sentinel-webhooks/,Azure Sentinel Webhooks,Integrations,2,5,115,155,fixed_window,False,False,Azure Sentinel Webhooks > Section 1 > (part 2)
halo_f0c73d4a_003_61ad828a8218,https://usehalo.com/guide/azure-sentinel-webhooks/,Azure Sentinel Webhooks,Integrations,3,5,359,484,fixed_window,False,False,Azure Sentinel Webhooks > Section 2 > (part 1)
halo_f0c73d4a_004_01c4b66607d9,https://usehalo.com/guide/azure-sentinel-webhooks/,Azure Sentinel Webhooks,Integrations,4,5,115,155,fixed_window,False,False,Azure Sentinel Webhooks > Section 2 > (part 2)
halo_1680aa3b_000_e472423d2985,https://usehalo.com/guide/introduction-9/,Guide Introduction,An Introduction to HaloPSA,0,5,122,164,structural_h2,False,False,Guide Introduction
halo_1680aa3b_001_9a351ade7278,https://usehalo.com/guide/introduction-9/,Guide Introduction,An Introduction to HaloPSA,1,5,280,378,structural_h2,False,False,Guide Introduction > Section 1
halo_1680aa3b_002_43e53010d0cb,https://usehalo.com/guide/introduction-9/,Guide Introduction,An Introduction to HaloPSA,2,5,280,378,structural_h2,False,False,Guide Introduction > Section 2
halo_1680aa3b_003_e306230d5058,https://usehalo.com/guide/introduction-9/,Guide Introduction,An Introduction to HaloPSA,3,5,280,378,structural_h2,False,False,Guide Introduction > Section 3
halo_1680aa3b_004_3bdc4b75915b,https://usehalo.com/guide/introduction-9/,Guide Introduction,An Introduction to HaloPSA,4,5,280,378,structural_h2,False,False,Guide Introduction > Section 4
halo_e472df6d_000_157819cdb3e1,https://usehalo.com/guide/asset-management/,Asset Management,Asset Management,0,5,90,121,structural_h2,False,False,Asset Management
halo_e472df6d_001_56c140d71516,https://usehalo.com/guide/asset-management/,Asset Management,Asset Management,1,5,197,265,structural_h2,False,False,Asset Management > Section 1
halo_e472df6d_002_17ac459d7382,https://usehalo.com/guide/asset-management/,Asset Management,Asset Management,2,5,197,265,structural_h2,False,False,Asset Management > Section 2
halo_e472df6d_003_520d6ee4c772,https://usehalo.com/guide/asset-management/,Asset Management,Asset Management,3,5,197,265,structural_h2,False,False,Asset Management > Section 3
halo_e472df6d_004_18bd24cf0677,https://usehalo.com/guide/asset-management/,Asset Management,Asset Management,4,5,197,265,structural_h2,False,False,Asset Management > Section 4
halo_3ec66dae_000_7067ecf8ec50,https://usehalo.com/guide/pax8-integration/,Pax8 Integration,Integrations,0,5,136,183,structural_h2,False,False,Pax8 Integration
halo_3ec66dae_001_eb4ed13ae8f4,https://usehalo.com/guide/pax8-integration/,Pax8 Integration,Integrations,1,5,304,410,structural_h2,False,False,Pax8 Integration > Section 1
halo_3ec66dae_002_bb97aeffe925,https://usehalo.com/guide/pax8-integration/,Pax8 Integration,Integrations,2,5,304,410,structural_h2,False,False,Pax8 Integration > Section 2
halo_3ec66dae_003_83d09308173e,https://usehalo.com/guide/pax8-integration/,Pax8 Integration,Integrations,3,5,304,410,structural_h2,False,False,Pax8 Integration > Section 3
halo_3ec66dae_004_0798de5a4c0f,https://usehalo.com/guide/pax8-integration/,Pax8 Integration,Integrations,4,5,304,410,structural_h2,False,False,Pax8 Integration > Section 4
halo_527b5cce_000_7c0d6e2da579,https://usehalo.com/guide/setting-price-overrides-per-supplier-at-product-level/,Setting Price Overrides Per Supplier at Product Level,Product Management,0,6,115,155,structural_h2,False,False,Setting Price Overrides Per Supplier at Product Level
halo_527b5cce_001_913e0dbba826,https://usehalo.com/guide/setting-price-overrides-per-supplier-at-product-level/,Setting Price Overrides Per Supplier at Product Level,Product Management,1,6,197,265,structural_h2,False,False,Setting Price Overrides Per Supplier at Product Level > Section 1
halo_527b5cce_002_4299c3e345fc,https://usehalo.com/guide/setting-price-overrides-per-supplier-at-product-level/,Setting Price Overrides Per Supplier at Product Level,Product Management,2,6,197,265,structural_h2,False,False,Setting Price Overrides Per Supplier at Product Level > Section 2
halo_527b5cce_003_fc9567d8e7c9,https://usehalo.com/guide/setting-price-overrides-per-supplier-at-product-level/,Setting Price Overrides Per Supplier at Product Level,Product Management,3,6,197,265,structural_h2,False,False,Setting Price Overrides Per Supplier at Product Level > Section 3
halo_527b5cce_004_a71d7cea48ea,https://usehalo.com/guide/setting-price-overrides-per-supplier-at-product-level/,Setting Price Overrides Per Supplier at Product Level,Product Management,4,6,197,265,structural_h2,False,False,Setting Price Overrides Per Supplier at Product Level > Section 4
halo_527b5cce_005_eb738f8aea3b,https://usehalo.com/guide/setting-price-overrides-per-supplier-at-product-level/,Setting Price Overrides Per Supplier at Product Level,Product Management,5,6,197,265,structural_h2,False,False,Setting Price Overrides Per Supplier at Product Level > Section 5
halo_c948e6c3_000_dd6a09a70112,https://usehalo.com/guide/the-report-screen-explained/,The Report Screen Explained,Reporting,0,7,99,133,structural_h2,False,False,The Report Screen Explained
halo_c948e6c3_001_a53baed6671f,https://usehalo.com/guide/the-report-screen-explained/,The Report Screen Explained,Reporting,1,7,144,194,structural_h2,False,False,The Report Screen Explained > Section 1
halo_c948e6c3_002_37fe850251c6,https://usehalo.com/guide/the-report-screen-explained/,The Report Screen Explained,Reporting,2,7,144,194,structural_h2,False,False,The Report Screen Explained > Section 2
halo_c948e6c3_003_42b2c9a94728,https://usehalo.com/guide/the-report-screen-explained/,The Report Screen Explained,Reporting,3,7,144,194,structural_h2,False,False,The Report Screen Explained > Section 3
halo_c948e6c3_004_f0c7d552eac1,https://usehalo.com/guide/the-report-screen-explained/,The Report Screen Explained,Reporting,4,7,144,194,structural_h2,False,False,The Report Screen Explained > Section 4
halo_c948e6c3_005_ba212916a9a8,https://usehalo.com/guide/the-report-screen-explained/,The Report Screen Explained,Reporting,5,7,144,194,structural_h2,False,False,The Report Screen Explained > Section 5
halo_c948e6c3_006_3c423db8ce1d,https://usehalo.com/guide/the-report-screen-explained/,The Report Screen Explained,Reporting,6,7,144,194,structural_h2,False,False,The Report Screen Explained > Section 6
halo_ea1d2b39_000_bc1672f52cf0,https://usehalo.com/guide/ticket-dashboards/,Ticket Dashboards,Reporting,0,4,69,93,structural_h2,False,False,Ticket Dashboards
halo_ea1d2b39_001_ff510160af2b,https://usehalo.com/guide/ticket-dashboards/,Ticket Dashboards,Reporting,1,4,217,292,structural_h2,False,False,Ticket Dashboards > Section 1
halo_ea1d2b39_002_4e381c4eb0a9,https://usehalo.com/guide/ticket-dashboards/,Ticket Dashboards,Reporting,2,4,217,292,structural_h2,False,False,Ticket Dashboards > Section 2
halo_ea1d2b39_003_bb861c8a8a12,https://usehalo.com/guide/ticket-dashboards/,Ticket Dashboards,Reporting,3,4,217,292,structural_h2,False,False,Ticket Dashboards > Section 3
halo_64d3f192_000_8a9119ed44f2,https://usehalo.com/guide/azure-automation-integration/,Azure Automation Integration,Integrations,0,4,89,120,structural_h2,False,False,Azure Automation Integration
halo_64d3f192_001_09f9ee6b7cd2,https://usehalo.com/guide/azure-automation-integration/,Azure Automation Integration,Integrations,1,4,257,346,structural_h2,False,False,Azure Automation Integration > Section 1
halo_64d3f192_002_8c558a86d0cd,https://usehalo.com/guide/azure-automation-integration/,Azure Automation Integration,Integrations,2,4,257,346,structural_h2,False,False,Azure Automation Integration > Section 2
halo_64d3f192_003_6615767bac05,https://usehalo.com/guide/azure-automation-integration/,Azure Automation Integration,Integrations,3,4,257,346,structural_h2,False,False,Azure Automation Integration > Section 3
halo_6d1381db_000_6780677c4a36,https://usehalo.com/guide/billing-configuration/,Billing Configuration,Billing,0,4,69,93,structural_h2,False,False,Billing Configuration
halo_6d1381db_001_7b2d8dc34704,https://usehalo.com/guide/billing-configuration/,Billing Configuration,Billing,1,4,195,263,structural_h2,False,False,Billing Configuration > Section 1
halo_6d1381db_002_844c54e4d80d,https://usehalo.com/guide/billing-configuration/,Billing Configuration,Billing,2,4,195,263,structural_h2,False,False,Billing Configuration > Section 2
halo_6d1381db_003_0e47f94a55c8,https://usehalo.com/guide/billing-configuration/,Billing Configuration,Billing,3,4,195,263,structural_h2,False,False,Billing Configuration > Section 3
halo_7dd16482_000_067e60bad075,https://usehalo.com/guide/azure-mail-integration-webhook-method-included/,Azure Mail Integration (Webhook Method),Email Configuration,0,5,84,113,structural_h2,False,False,Azure Mail Integration (Webhook Method)
halo_7dd16482_001_f45d0876f122,https://usehalo.com/guide/azure-mail-integration-webhook-method-included/,Azure Mail Integration (Webhook Method),Email Configuration,1,5,362,488,fixed_window,False,False,Azure Mail Integration (Webhook Method) > Section 1 > (part 1)
halo_7dd16482_002_95912a6de783,https://usehalo.com/guide/azure-mail-integration-webhook-method-included/,Azure Mail Integration (Webhook Method),Email Configuration,2,5,59,79,fixed_window,False,False,Azure Mail Integration (Webhook Method) > Section 1 > (part 2)
halo_7dd16482_003_26642b8106ac,https://usehalo.com/guide/azure-mail-integration-webhook-method-included/,Azure Mail Integration (Webhook Method),Email Configuration,3,5,362,488,fixed_window,False,False,Azure Mail Integration (Webhook Method) > Section 2 > (part 1)
halo_7dd16482_004_95912a6de783,https://usehalo.com/guide/azure-mail-integration-webhook-method-included/,Azure Mail Integration (Webhook Method),Email Configuration,4,5,59,79,fixed_window,False,False,Azure Mail Integration (Webhook Method) > Section 2 > (part 2)
halo_3082f857_000_78b89d0a7dba,https://usehalo.com/guide/ninja-rmm-integration-api-v1-legacy/,Ninja RMM Integration API V1 (Legacy),Integrations,0,7,111,149,structural_h2,False,False,Ninja RMM Integration API V1 (Legacy)
halo_3082f857_001_748c19161c31,https://usehalo.com/guide/ninja-rmm-integration-api-v1-legacy/,Ninja RMM Integration API V1 (Legacy),Integrations,1,7,165,222,structural_h2,False,False,Ninja RMM Integration API V1 (Legacy) > Section 1
halo_3082f857_002_0670983c293a,https://usehalo.com/guide/ninja-rmm-integration-api-v1-legacy/,Ninja RMM Integration API V1 (Legacy),Integrations,2,7,165,222,structural_h2,False,False,Ninja RMM Integration API V1 (Legacy) > Section 2
halo_3082f857_003_2a58508f36bf,https://usehalo.com/guide/ninja-rmm-integration-api-v1-legacy/,Ninja RMM Integration API V1 (Legacy),Integrations,3,7,165,222,structural_h2,False,False,Ninja RMM Integration API V1 (Legacy) > Section 3
halo_3082f857_004_9e7c62ce5766,https://usehalo.com/guide/ninja-rmm-integration-api-v1-legacy/,Ninja RMM Integration API V1 (Legacy),Integrations,4,7,165,222,structural_h2,False,False,Ninja RMM Integration API V1 (Legacy) > Section 4
halo_3082f857_005_0de29163c490,https://usehalo.com/guide/ninja-rmm-integration-api-v1-legacy/,Ninja RMM Integration API V1 (Legacy),Integrations,5,7,165,222,structural_h2,False,False,Ninja RMM Integration API V1 (Legacy) > Section 5
halo_3082f857_006_a21be5d564ef,https://usehalo.com/guide/ninja-rmm-integration-api-v1-legacy/,Ninja RMM Integration API V1 (Legacy),Integrations,6,7,165,222,structural_h2,False,False,Ninja RMM Integration API V1 (Legacy) > Section 6
halo_07ec3c60_000_ea4974296c8c,https://usehalo.com/guide/creating-a-project-from-a-sales-order/,Creating a Project From a Sales Order,Projects,0,4,102,137,structural_h2,False,False,Creating a Project From a Sales Order
halo_07ec3c60_001_b63973c43dbb,https://usehalo.com/guide/creating-a-project-from-a-sales-order/,Creating a Project From a Sales Order,Projects,1,4,304,410,structural_h2,False,False,Creating a Project From a Sales Order > Section 1
halo_07ec3c60_002_bb50a96ccba3,https://usehalo.com/guide/creating-a-project-from-a-sales-order/,Creating a Project From a Sales Order,Projects,2,4,304,410,structural_h2,False,False,Creating a Project From a Sales Order > Section 2
halo_07ec3c60_003_cbedb38b7747,https://usehalo.com/guide/creating-a-project-from-a-sales-order/,Creating a Project From a Sales Order,Projects,3,4,304,410,structural_h2,False,False,Creating a Project From a Sales Order > Section 3
halo_dad0f3c2_000_3d83c15244f3,https://usehalo.com/guide/connectwise-control-integration/,ConnectWise Control Integration,Integrations,0,4,59,79,structural_h2,False,False,ConnectWise Control Integration
halo_dad0f3c2_001_e555e93bcb5e,https://usehalo.com/guide/connectwise-control-integration/,ConnectWise Control Integration,Integrations,1,4,153,206,structural_h2,False,False,ConnectWise Control Integration > Section 1
halo_dad0f3c2_002_413de414de9c,https://usehalo.com/guide/connectwise-control-integration/,ConnectWise Control Integration,Integrations,2,4,153,206,structural_h2,False,False,ConnectWise Control Integration > Section 2
halo_dad0f3c2_003_9afa28bc5fe3,https://usehalo.com/guide/connectwise-control-integration/,ConnectWise Control Integration,Integrations,3,4,153,206,structural_h2,False,False,ConnectWise Control Integration > Section 3
halo_24068ba9_000_e2ee8207de6b,https://usehalo.com/guide/timesheet-approvals/,Timesheet Approvals,Billing,0,5,116,156,structural_h2,False,False,Timesheet Approvals
halo_24068ba9_001_c5c2686f478c,https://usehalo.com/guide/timesheet-approvals/,Timesheet Approvals,Billing,1,5,368,496,fixed_window,False,False,Timesheet Approvals > Section 1 > (part 1)
halo_24068ba9_002_c5cd6775a577,https://usehalo.com/guide/timesheet-approvals/,Timesheet Approvals,Billing,2,5,164,221,fixed_window,False,False,Timesheet Approvals > Section 1 > (part 2)
halo_24068ba9_003_0baf66d94777,https://usehalo.com/guide/timesheet-approvals/,Timesheet Approvals,Billing,3,5,368,496,fixed_window,False,False,Timesheet Approvals > Section 2 > (part 1)
halo_24068ba9_004_f62ed69dc422,https://usehalo.com/guide/timesheet-approvals/,Timesheet Approvals,Billing,4,5,164,221,fixed_window,False,False,Timesheet Approvals > Section 2 > (part 2)
halo_f3ed6da1_000_05e03c5fa891,https://usehalo.com/guide/n-able-n-central-integration/,N-able N-Central Integration,Integrations,0,3,80,108,structural_h2,False,False,N-able N-Central Integration
halo_f3ed6da1_001_e00e80437adc,https://usehalo.com/guide/n-able-n-central-integration/,N-able N-Central Integration,Integrations,1,3,362,488,fixed_window,False,False,N-able N-Central Integration > Section 1 > (part 1)
halo_f3ed6da1_002_68e9d06a5125,https://usehalo.com/guide/n-able-n-central-integration/,N-able N-Central Integration,Integrations,2,3,361,487,fixed_window,False,False,N-able N-Central Integration > Section 1 > (part 2)
halo_95f4db1e_000_4856e8f1a956,https://usehalo.com/guide/also-integration/,ALSO Integration,Integrations,0,7,136,183,structural_h2,False,False,ALSO Integration
halo_95f4db1e_001_adeec4cdbcc1,https://usehalo.com/guide/also-integration/,ALSO Integration,Integrations,1,7,359,484,fixed_window,False,False,ALSO Integration > Section 1 > (part 1)
halo_95f4db1e_002_82462698626c,https://usehalo.com/guide/also-integration/,ALSO Integration,Integrations,2,7,84,113,fixed_window,False,False,ALSO Integration > Section 1 > (part 2)
halo_95f4db1e_003_61ad828a8218,https://usehalo.com/guide/also-integration/,ALSO Integration,Integrations,3,7,359,484,fixed_window,False,False,ALSO Integration > Section 2 > (part 1)
halo_95f4db1e_004_82462698626c,https://usehalo.com/guide/also-integration/,ALSO Integration,Integrations,4,7,84,113,fixed_window,False,False,ALSO Integration > Section 2 > (part 2)
halo_95f4db1e_005_5b309137bad1,https://usehalo.com/guide/also-integration/,ALSO Integration,Integrations,5,7,359,484,fixed_window,False,False,ALSO Integration > Section 3 > (part 1)
halo_95f4db1e_006_82462698626c,https://usehalo.com/guide/also-integration/,ALSO Integration,Integrations,6,7,84,113,fixed_window,False,False,ALSO Integration > Section 3 > (part 2)
halo_01710014_000_8a4bb0e493f8,https://usehalo.com/guide/single-sign-on-b2c-for-entra-id-and-csp/,Single Sign on B2C (Entra ID and CSP),Security,0,4,75,101,structural_h2,False,False,Single Sign on B2C (Entra ID and CSP)
halo_01710014_001_cc9e7edf4a11,https://usehalo.com/guide/single-sign-on-b2c-for-entra-id-and-csp/,Single Sign on B2C (Entra ID and CSP),Security,1,4,227,306,structural_h2,False,False,Single Sign on B2C (Entra ID and CSP) > Section 1
halo_01710014_002_3a282a2ae9bd,https://usehalo.com/guide/single-sign-on-b2c-for-entra-id-and-csp/,Single Sign on B2C (Entra ID and CSP),Security,2,4,227,306,structural_h2,False,False,Single Sign on B2C (Entra ID and CSP) > Section 2
halo_01710014_003_20f75d34dc0e,https://usehalo.com/guide/single-sign-on-b2c-for-entra-id-and-csp/,Single Sign on B2C (Entra ID and CSP),Security,3,4,227,306,structural_h2,False,False,Single Sign on B2C (Entra ID and CSP) > Section 3
halo_b406148a_000_f2a24823ff37,https://usehalo.com/guide/azure-key-vault-integration/,Azure Key Vault Integration,Integrations,0,7,99,133,structural_h2,False,False,Azure Key Vault Integration
halo_b406148a_001_e555e93bcb5e,https://usehalo.com/guide/azure-key-vault-integration/,Azure Key Vault Integration,Integrations,1,7,153,206,structural_h2,False,False,Azure Key Vault Integration > Section 1
halo_b406148a_002_413de414de9c,https://usehalo.com/guide/azure-key-vault-integration/,Azure Key Vault Integration,Integrations,2,7,153,206,structural_h2,False,False,Azure Key Vault Integration > Section 2
halo_b406148a_003_9afa28bc5fe3,https://usehalo.com/guide/azure-key-vault-integration/,Azure Key Vault Integration,Integrations,3,7,153,206,structural_h2,False,False,Azure Key Vault Integration > Section 3
halo_b406148a_004_563b0f38c6a6,https://usehalo.com/guide/azure-key-vault-integration/,Azure Key Vault Integration,Integrations,4,7,153,206,structural_h2,False,False,Azure Key Vault Integration > Section 4
halo_b406148a_005_c0315d99589d,https://usehalo.com/guide/azure-key-vault-integration/,Azure Key Vault Integration,Integrations,5,7,153,206,structural_h2,False,False,Azure Key Vault Integration > Section 5
halo_b406148a_006_803962bb696e,https://usehalo.com/guide/azure-key-vault-integration/,Azure Key Vault Integration,Integrations,6,7,153,206,structural_h2,False,False,Azure Key Vault Integration > Section 6
